"EVENT","COUNT","UNIQUE USERS","PERCENTAGE","CHURN","MEDIAN TIME TO STEP"
"Step 1: ""LevelStarted"" : ""level_id=1;""","12","8","1","0","0.0"
"Step 2: ""LevelCompleted"" : ""level_id=1;""","5","5","0.625","0.375","0.45"
"Step 3: ""LevelStarted"" : ""level_id=2;""","4","4","0.5","0.5","0.05"
"Step 4: ""LevelCompleted"" : ""level_id=2;""","3","3","0.375","0.625","0.42"
"Step 5: ""LevelStarted"" : ""level_id=3;""","3","3","0.375","0.625","0.03"
"Step 6: ""LevelCompleted"" : ""level_id=3;""","1","1","0.125","0.875","0.38"
"Step 7: ""LevelStarted"" : ""level_id=4;""","1","1","0.125","0.875","0.0"
"Step 8: ""LevelCompleted"" : ""level_id=4;""","1","1","0.125","0.875","0.25"
"Step 9: ""LevelStarted"" : ""level_id=5;""","1","1","0.125","0.875","0.0"
"Step 10: ""LevelCompleted"" : ""level_id=5;""","1","1","0.125","0.875","0.15"
"Step 11: ""LevelStarted"" : ""level_id=6;""","1","1","0.125","0.875","0.0"
